Operation,Value_1,Value_2,Result,Date
addition,1.0,2.0,3.0,12/14/2021
addition,100.0,200.0,300.0,12/14/2021
addition,100.0,200.0,300.0,12/14/2021
addition,1.0,2.0,3.0,12/15/2021
multiplication,100.0,350.0,35000.0,12/15/2021
division,140.0,22.0,6.3,12/15/2021
subtraction,123453.0,234534.0,-111081.0,12/15/2021
addition,14565.0,265756.0,280321.0,12/15/2021
subtraction,11231.0,231432.0,-220201.0,12/15/2021
addition,1232.0,243423.0,244655.0,12/15/2021
subtraction,234234342.0,24242234.0,209992108.0,12/15/2021
addition,1324.0,24234.0,25558.0,12/16/2021
subtraction,15.0,26.0,-11.0,12/16/2021
addition,123.0,234.0,357.0,12/16/2021
subtraction,1243.0,25234.0,-23991.0,12/16/2021
subtraction,1324342.0,2423432.0,-1099090.0,12/16/2021
addition,1312.0,2321.0,3633.0,12/16/2021
subtraction,324545.0,23453.0,301092.0,12/16/2021
multiplication,6590.0,3949.0,26023910.0,12/16/2021
subtraction,17687.0,20.0,17667.0,12/16/2021
addition,1570.0,3470.0,5040.0,12/16/2021
addition,6859.0,8593.0,15452.0,12/16/2021
